CMDLINE /Library/Frameworks/Python.framework/Versions/3.12/bin/python3.12 chapter2.py
MEM 115.406250 1729507201.9932
MEM 115.406250 1729507202.0982
MEM 115.406250 1729507202.2032
MEM 115.421875 1729507202.3083
MEM 115.453125 1729507202.4133
MEM 115.453125 1729507202.5183
MEM 115.468750 1729507202.6234
MEM 115.468750 1729507202.7284
MEM 115.468750 1729507202.8334
MEM 115.515625 1729507202.9384
MEM 115.515625 1729507203.0435
MEM 115.515625 1729507203.1486
MEM 115.531250 1729507203.2538
MEM 115.562500 1729507203.3589
MEM 115.562500 1729507203.4640
MEM 115.562500 1729507203.5690
MEM 115.578125 1729507203.6726
MEM 115.578125 1729507203.7776
MEM 115.609375 1729507203.8827
MEM 115.625000 1729507203.9877
MEM 115.625000 1729507204.0892
MEM 115.625000 1729507204.1943
MEM 115.640625 1729507204.2994
MEM 115.671875 1729507204.4045
MEM 115.671875 1729507204.5059
MEM 115.687500 1729507204.6109
MEM 115.687500 1729507204.7160
MEM 115.687500 1729507204.8211
MEM 115.734375 1729507204.9262
MEM 115.734375 1729507205.0313
MEM 115.734375 1729507205.1364
MEM 115.750000 1729507205.2414
MEM 115.781250 1729507205.3464
MEM 115.781250 1729507205.4515
MEM 115.796875 1729507205.5559
MEM 115.796875 1729507205.6609
MEM 115.796875 1729507205.7659
MEM 115.828125 1729507205.8709
MEM 115.843750 1729507205.9760
MEM 115.843750 1729507206.0810
MEM 115.843750 1729507206.1860
MEM 115.890625 1729507206.2911
MEM 115.890625 1729507206.3961
MEM 115.890625 1729507206.5012
MEM 115.906250 1729507206.6059
MEM 115.906250 1729507206.7109
MEM 115.937500 1729507206.8159
MEM 115.953125 1729507206.9209
MEM 115.953125 1729507207.0225
MEM 115.953125 1729507207.1276
MEM 115.968750 1729507207.2326
MEM 116.000000 1729507207.3377
MEM 116.000000 1729507207.4382
MEM 116.015625 1729507207.5433
MEM 116.015625 1729507207.6484
MEM 116.015625 1729507207.7534
MEM 116.046875 1729507207.8583
MEM 116.062500 1729507207.9634
MEM 116.062500 1729507208.0685
MEM 116.062500 1729507208.1735
MEM 116.078125 1729507208.2759
MEM 116.109375 1729507208.3811
MEM 116.109375 1729507208.4861
MEM 116.125000 1729507208.5892
MEM 116.125000 1729507208.6942
MEM 116.125000 1729507208.7992
MEM 116.171875 1729507208.9042
MEM 116.171875 1729507209.0093
MEM 116.171875 1729507209.1143
MEM 116.187500 1729507209.2194
MEM 116.187500 1729507209.3245
MEM 116.218750 1729507209.4296
MEM 116.234375 1729507209.5346
MEM 116.234375 1729507209.6396
MEM 116.234375 1729507209.7447
MEM 116.250000 1729507209.8497
MEM 116.281250 1729507209.9547
MEM 116.281250 1729507210.0558
MEM 116.296875 1729507210.1608
MEM 116.296875 1729507210.2659
MEM 116.328125 1729507210.3709
MEM 116.343750 1729507210.4760
MEM 116.343750 1729507210.5811
MEM 116.343750 1729507210.6862
MEM 116.359375 1729507210.7912
MEM 116.390625 1729507210.8962
MEM 116.390625 1729507211.0012
MEM 116.390625 1729507211.1058
